symbol,baseAsset,quoteAsset,openPrice,lowPrice,highPrice,lastPrice,volume,bidPrice,askPrice,at
btcinr,btc,inr,5771640,5625000.0,5814698.0,5650000.0,3.239619999999997,5635898.0,5650000.0,1719240917000
xrpinr,xrp,inr,43.7499,43.0,44.19,43.77,72064.90000000004,43.3322,43.7699,1719240917000
ethinr,eth,inr,313020,300000.0,316699.4,300000.0,28.3382,300000.0,301173.8,1719240917000
trxinr,trx,inr,10.8399,10.6733,10.89,10.76,369746,10.76,10.7601,1719240917000
eosinr,eos,inr,80.06,78.61,83.95,78.61,260.76,78.61,78.65,1719240917000
zilinr,zil,inr,2.2,2.1,2.25,2.13,26960,2.1,2.12,1719240917000
batinr,bat,inr,17.221,16.538,18.067,17.428,2799.87,17.0,17.428,1719240917000
zrxinr,zrx,inr,32.69,31.0,33.19,32.05,2807.22,32.0,32.05,1719240917000
reqinr,req,inr,9.9827,9.7938,10.3135,9.8103,258.67,9.5987,10.2517,1719240917000
icxinr,icx,inr,13.7,13.174,13.998,13.174,5824.900000000001,13.212,13.9,1719240917000
omginr,omg,inr,30,28.0,30.874,29.999,23588.100000000002,29.5,30.0,1719240917000
iostinr,iost,inr,0.61,0.57,0.61,0.58,3072400,0.57,0.58,1719240917000
dentinr,dent,inr,0.09,0.08,0.091,0.085,7569255,0.081,0.085,1719240917000
hotinr,hot,inr,0.167,0.154,0.167,0.162,1754212,0.157,0.162,1719240917000
funinr,fun,inr,0.36,0.32,0.36,0.35,511605,0.33,0.35,1719240917000
usdtinr,usdt,inr,90.48,90.13,92.5,90.3,498083.06000000023,90.3,91.48,1719240917000
wrxinr,wrx,inr,13.96,13.3,13.96,13.59,134489.3999999999,13.52,13.59,1719240917000
maticinr,matic,inr,52.001,50.0,52.908,50.318,65921.49999999999,50.318,50.918,1719240917000
bchinr,bch,inr,35694,33000.0,36127.0,33999.0,6.736800000000001,33000.0,34000.0,1719240917000
bnbinr,bnb,inr,52701.01,51125.3,53289.99,51197.99,22.664599999999986,51125.23,51709.52,1719240917000
oneinr,one,inr,1.4,1.3225,1.4399,1.335,60047,1.33,1.335,1719240917000
