symbol,date,predicted_price
btcinr,2024-06-22,5760000.0
btcinr,2024-06-23,5760000.0
xrpinr,2024-06-22,43.82
xrpinr,2024-06-23,43.82
ethinr,2024-06-22,313379.6
ethinr,2024-06-23,313379.6
trxinr,2024-06-22,10.608
trxinr,2024-06-23,10.608
eosinr,2024-06-22,82.0
eosinr,2024-06-23,82.0
zilinr,2024-06-22,2.23
zilinr,2024-06-23,2.23
batinr,2024-06-22,17.2
batinr,2024-06-23,17.2
zrxinr,2024-06-22,32.5
zrxinr,2024-06-23,32.5
reqinr,2024-06-22,9.8
reqinr,2024-06-23,9.8
icxinr,2024-06-22,14.248
icxinr,2024-06-23,14.248
omginr,2024-06-22,31.0
omginr,2024-06-23,31.0
iostinr,2024-06-22,0.6
iostinr,2024-06-23,0.6
dentinr,2024-06-22,0.09
dentinr,2024-06-23,0.09
hotinr,2024-06-22,0.165
hotinr,2024-06-23,0.165
funinr,2024-06-22,0.37
funinr,2024-06-23,0.37
usdtinr,2024-06-22,90.01
usdtinr,2024-06-23,90.01
wrxinr,2024-06-22,13.42
wrxinr,2024-06-23,13.42
maticinr,2024-06-22,52.0
maticinr,2024-06-23,52.0
bchinr,2024-06-22,35757.0
bchinr,2024-06-23,35757.0
bnbinr,2024-06-22,53099.6
bnbinr,2024-06-23,53099.6
oneinr,2024-06-22,1.44
oneinr,2024-06-23,1.44
yfiinr,2024-06-22,524205.0
yfiinr,2024-06-23,524205.0
uniinr,2024-06-22,890.85
uniinr,2024-06-23,890.85
linkinr,2024-06-22,1261.34
linkinr,2024-06-23,1261.34
sxpinr,2024-06-22,23.799
sxpinr,2024-06-23,23.799
adainr,2024-06-22,36.2998
adainr,2024-06-23,36.2998
atominr,2024-06-22,624.0
atominr,2024-06-23,624.0
xlminr,2024-06-22,8.3455
xlminr,2024-06-23,8.3455
fetinr,2024-06-22,140.302
fetinr,2024-06-23,140.302
xeminr,2024-06-22,1.301
xeminr,2024-06-23,1.301
zecinr,2024-06-22,1830.0
zecinr,2024-06-23,1830.0
dogeinr,2024-06-22,11.1372
dogeinr,2024-06-23,11.1372
dotinr,2024-06-22,512.0
dotinr,2024-06-23,512.0
vetinr,2024-06-22,2.43054
vetinr,2024-06-23,2.43054
crvinr,2024-06-22,30.14
crvinr,2024-06-23,30.14
reninr,2024-06-22,4.2
reninr,2024-06-23,4.2
enjinr,2024-06-22,18.0
enjinr,2024-06-23,18.0
manainr,2024-06-22,30.13
manainr,2024-06-23,30.13
hbarinr,2024-06-22,7.16
hbarinr,2024-06-23,7.16
umainr,2024-06-22,236.5
umainr,2024-06-23,236.5
chrinr,2024-06-22,22.0
chrinr,2024-06-23,22.0
paxginr,2024-06-22,229666.0
paxginr,2024-06-23,229666.0
1inchinr,2024-06-22,36.51
1inchinr,2024-06-23,36.51
etcinr,2024-06-22,2139.0
etcinr,2024-06-23,2139.0
uftinr,2024-06-22,29.525
uftinr,2024-06-23,29.525
dockinr,2024-06-22,1.957
dockinr,2024-06-23,1.957
filinr,2024-06-22,405.69
filinr,2024-06-23,405.69
wininr,2024-06-22,0.0079
wininr,2024-06-23,0.0079
tkoinr,2024-06-22,31.01
tkoinr,2024-06-23,31.01
pushinr,2024-06-22,14.826
pushinr,2024-06-23,14.826
avaxinr,2024-06-22,2450.007
avaxinr,2024-06-23,2450.007
xvginr,2024-06-22,0.3718
xvginr,2024-06-23,0.3718
scinr,2024-06-22,0.4164
scinr,2024-06-23,0.4164
fttinr,2024-06-22,134.998
fttinr,2024-06-23,134.998
dgbinr,2024-06-22,0.72
dgbinr,2024-06-23,0.72
cvcinr,2024-06-22,9.838
cvcinr,2024-06-23,9.838
cakeinr,2024-06-22,200.0
cakeinr,2024-06-23,200.0
ftminr,2024-06-22,51.367
ftminr,2024-06-23,51.367
hntinr,2024-06-22,300.0
hntinr,2024-06-23,300.0
ctsiinr,2024-06-22,15.007
ctsiinr,2024-06-23,15.007
kmdinr,2024-06-22,35.0
kmdinr,2024-06-23,35.0
solinr,2024-06-22,12000.0
solinr,2024-06-23,12000.0
cotiinr,2024-06-22,8.65
cotiinr,2024-06-23,8.65
iotxinr,2024-06-22,3.98
iotxinr,2024-06-23,3.98
shibinr,2024-06-22,0.001604
shibinr,2024-06-23,0.001604
rlcinr,2024-06-22,192.27
rlcinr,2024-06-23,192.27
trbinr,2024-06-22,9230.27
trbinr,2024-06-23,9230.27
reefinr,2024-06-22,0.13818
reefinr,2024-06-23,0.13818
icpinr,2024-06-22,759.71
icpinr,2024-06-23,759.71
ontinr,2024-06-22,20.36
ontinr,2024-06-23,20.36
ckbinr,2024-06-22,1.0002
ckbinr,2024-06-23,1.0002
xvsinr,2024-06-22,605.3
xvsinr,2024-06-23,605.3
viteinr,2024-06-22,1.5677
viteinr,2024-06-23,1.5677
dcrinr,2024-06-22,1500.0
dcrinr,2024-06-23,1500.0
mdxinr,2024-06-22,3.66
mdxinr,2024-06-23,3.66
phainr,2024-06-22,12.498
phainr,2024-06-23,12.498
runeinr,2024-06-22,400.0
runeinr,2024-06-23,400.0
ogninr,2024-06-22,9.668
ogninr,2024-06-23,9.668
datainr,2024-06-22,4.7997
datainr,2024-06-23,4.7997
ksminr,2024-06-22,2203.48
ksminr,2024-06-23,2203.48
nkninr,2024-06-22,7.5
nkninr,2024-06-23,7.5
balinr,2024-06-22,308.8
balinr,2024-06-23,308.8
snxinr,2024-06-22,185.0
snxinr,2024-06-23,185.0
axsinr,2024-06-22,540.01
axsinr,2024-06-23,540.01
celrinr,2024-06-22,1.5347
